0,17.47
1,19.56
2,20.95
3,22.33
4,23.45
5,24.28
6,25.13
7,25.99
8,26.82
9,27.66
10,28.39
11,29.01
12,29.32
13,29.61
14,29.61
15,29.64
16,29.61
17,29.71
18,29.6
19,29.65
20,29.69
21,29.58
22,29.72
23,29.75
24,29.72
25,29.71
26,29.7
27,29.69
28,29.68
29,29.66
30,29.68
31,29.62
32,29.65
33,29.69
34,29.65
35,29.66
36,29.6
37,29.62
38,29.71
39,29.73
40,29.6
41,29.65
42,29.7
43,29.63
44,29.64
45,29.68
46,29.71
47,29.65
48,29.72
49,29.81
50,29.71
51,29.65
52,29.71
53,29.76
54,29.66
55,29.63
56,29.66
57,29.54
58,29.52
59,29.65
60,29.61
61,29.69
62,29.72
63,29.72
64,29.71
65,29.75
66,29.69
67,29.77
68,29.65
69,29.74
70,29.76
71,29.65
72,29.6
73,29.55
74,29.67
75,29.76
76,29.63
77,29.67
78,29.81
79,29.74
80,29.7
81,29.71
82,29.72
83,29.71
84,29.68
85,29.59
86,29.64
87,29.69
88,29.58
89,29.75
90,29.61
91,29.6
92,29.68
93,29.69
94,29.59
95,29.66
96,29.73
97,29.76
98,29.57
99,29.66
